(مص. أسس)	تَأْسِيسٌ-تَأْسِيسٌ 
(مص. تَماسَّ)	تَماسٌّ-تَماسٌّ 
(مص. تَماسَكَ)	تَماسُكٌ-تَماسُكٌ 
(مص. تَماسَى)	تَماسِي-تَماسِي، تَماسٍ
(مص. تَماشَقَ)	تَماشُقٌ-تَماشُقٌ 
(مص. تَماشَى)	تَماشِي-تَماشِي، تَماشٍ 
(مص. تَماكَرَ)	تَماكُرٌ-تَماكُرٌ 
(مص. تَماكَسَ)	تَماكُسٌ-تَماكُسٌ 
(مص. تَمالَكَ)	تَمالُكٌ-تَمالُكٌ 
(مص. تَماوَتَ)	تَماوُتٌ-تَماوُتٌ 
(مص. تَمايَدَ)	تَمايُدٌ-تَمايُدٌ 
(مص. تَمايَزَ)	تَمايُزٌ-تَمايُزٌ 
(مص. تَمايَلَ)	تَمايُلٌ-تَمايُلٌ 
(مص. تَمَتَّعَ)	تَمَتُّعٌ-تَمَتُّعٌ 
(مص. تَمْتَمَ)	تَمْتَمَةٌ-تَمْتَمَةٌ 
(مص. تَمَثَّلَ)	تَمثُّلٌ-تَمثُّلٌ 
(مص. تَمَجَّدَ)	تَمَجُّدٌ-تَمَجُّدٌ 
(مص. تَمَجَّنَ)	تَمَجُّنٌ-تَمَجُّنٌ 
(مص. تَمَخَّضَ)	تَمَخُّضٌ-تَمَخُّضٌ 
(مص. تَمَخَّطَ)	تَمَخُّطٌ-تَمَخُّطٌ 
(مص. تَمَدَّدَ)	تَمَدُّدٌ-تَمَدُّدٌ 
(مص. تَمَدْرَسَ)	تَمَدْرُسٌ-تَمَدْرُسٌ 
(مص. تَمَدَّنَ)	تَمَدُّنٌ-تَمَدُّنٌ 
(مص. تَمَدْيَنَ)	تَمْدْيُنٌ-تَمَدْيُنٌ 
(مص. تَمَذْهَبَ)	تَمَذْهُبٌ-تَمَذْهُبٌ 
(مص. تَمَرَ)	تَمْرٌ-تَمْرٌ 
(مص. تَمَرَّدَ)	تَمَرُّدٌ-تَمَرُّدٌ 
(مص. تَمَرَّسَ)	تَمَرُّسٌ-تَمَرُّسٌ 
(مص. تَمَرَّعَ)	تَمَرُّعٌ-تَمَرُّعٌ 
(مص. تَمَرَّغَ)	تَمَرُّغٌ-تَمَرُّغٌ 
(مص. تَمَرْفَق)	تَمَرْفُقٌ-تَمَرْفُقٌ 
(مص. تَمَرْكَزَ)	تَمَرْكُزٌ-تَمَرْكُزٌ 
(مص. تَمَرْمَرَ)	تَمَرْمُرٌ-تَمَرْمُرٌ 
(مص. تَمَرَّنَ)	تَمَرُّنٌ-تَمَرُّنٌ 
(مص. تَمَزَّقَ)	تَمَزُّقٌ-تَمَزُّقٌ 
(مص. تَمَسَّحَ)	تَمَسُّحٌ-تَمَسُّحٌ 
(مص. تَمَسَّكَ)	تَمَسُّكٌ-تَمَسُّكٌ 
(مص. تَمَسْكَنَ)	تَمَسْكُنٌ-تَمَسْكُنٌ 
(مص. تَمَسْلَمَ)	تَمَسْلُمٌ-تَمَسْلُمٌ 
(مص. تَمَشَّى)	تَمَشِّي-تَمَشِّي، تَمَشٍّ
(مص. تَمَصَّرَ)	تَمَصُّرٌ-تَمَصُّرٌ 
(مص. تَمَضْمَضَ)	تَمَضْمُضٌ-تَمَضْمُضٌ 
(مص. تَمَضَّى)	تَمَضِّي-تَمَضِّي، تَمَضٍّ
(مص. تَمَطَّرَ)	تَمَطُّرٌ-تَمَطُّرٌ 
(مص. تَمَطَّطَ)	تَمَطُّطٌ-تَمَطُّطٌ 
(مص. تَمَطَّقَ)	تَمَطُّقٌ-تَمَطُّقٌ 
(مص. تَمَطَّى)	تَمَطِّي-تَمَطِّي، تَمَطٍّ 
(مص. تَمَعَّنَ)	تَمَعُّنٌ-تَمَعُّنٌ 
(مص. تَمَغْرَبَ)	تَمَغْرُبٌ-تَمَغْرُبٌ 
(مص. تَمَغَّصَ)	تَمَغُّصٌ-تَمَغُّصٌ 
(مص. تَمَقَّتَ)	تَمَقُّتٌ-تَمَقُّتٌ 
(مص. تَمَكَّثَ)	تَمَكُّثٌ-تَمَكُّثٌ 
(مص. تَمَكَّنَ)	تَمَكُّنٌ-تَمَكُّنٌ 
(مص. تَمَلَّأ)	تَمَلُّؤٌ-تَمَلُّؤٌ 
(مص. تَمَلَّسَ)	تَمَلُّسٌ-تَمَلُّسٌ 
(مص. تَمَلَّصَ)	تَمَلُّصٌ-تَمَلُّصٌ 
(مص. تَمَلَّقَ)	تَمَلُّقٌ-تَمَلُّقٌ 
(مص. تَمَلَّكَ)	تَمَلُّكٌ-تَمَلُّكٌ 
(مص. تَمَلْمَلَ)	تَمَلْمُلٌ-تَمَلْمُلٌ 
(مص. تَمَلَّى)	تَمَلِّي-تَمَلِّي، تَمَلٍّ
(مص. تَمَنْدَلَ)	تَمَنْدُلٌ-تَمَنْدُلٌ 
(مص. تَمَنْطَقَ)	تَمَنْطُقٌ-تَمَنْطُقٌ 
(مص. تَمَنَّعَ)	تَمنُّعٌ-تَمنُّعٌ 
(مص. تَمَنَّنَ)	تَمَنُّنٌ-تَمَنُّنٌ 
(مص. تَمَنَّى)	تَمَنِّي-تَمَنِّي، تَمَنٍّ 
(مص. تَمَهَّدَ)	تَمَهُّدٌ-تَمَهُّدٌ 
(مص. تَمَهَّلَ)	تَمَهُّلٌ-تَمَهُّلٌ 
(مص. تَمَوَّجَ)	تَموُّجٌ-تَموُّجٌ 
(مص. تَمَوَّرَ)	تَمَوُّرٌ-تَمَوُّرٌ 
(مص. تَمَوَّلَ)	تَمَوُّلٌ-تَمَوُّلٌ 
(مص. تَمَوَّنَ)	تَمَوُّنٌ-تَمَوُّنٌ 
(مص. تَمَوَّهَ)	تَمَوُّهٌ-تَمَوُّهٌ 
(مص. تَميَّدَ)	تَمَيُّدٌ-تَمَيُّدٌ 
(مص. تَمَيَّزَ)	تَمَيُّزٌ-تَمَيُّزٌ 
(مص. تَمَيَّسَ)	تَمَيُّسٌ-تَمَيُّسٌ 
(مص. تَميَّعَ)	تَمَيُّعٌ-تَمَيُّعٌ 
(مص. تَمَيَّلَ)	تَمَيُّلٌ-تَمَيُّلٌ 
(مص. تَنَاءَى)	تَنَائِي-تَنَائِي، تَناءٍ 
(مص. تَنَابَذَ)	تَنَابُذٌ-تَنَابُذٌ 
(مص. تَنَابَزَ)	تَنَابُزٌ-تَنَابُزٌ 
(مص. تنَابَلَ)	تَنَابُلٌ-تَنَابُلٌ 
(مص. تَنَاثَرَ)	تَنَاثُرٌ-تَنَاثُرٌ 
(مص. تَنَاجَى)	تَنَاجِي-تَنَاجِي، تَنَاجٍ
(مص. تَنَاَحَرَ)	تَنَاحُرٌ-تَنَاحُرٌ 
(مص. تَنَاحَسَ)	تَنَاحُسٌ-تَنَاحُسٌ 
(مص. تَنَادَّ)	تَنَادٌّ-تَنَادٌّ 
(مص. تَنَادَمَ)	تَنَادُمٌ-تَنَادُمٌ 
(مص. تَنَادَى)	تَنَادِي-تَنَادِي، تَنَادٍ 
(مص. تَنَازَعَ)	تَنَازُعٌ-تَنَازُعٌ 
(مص. تَنَازَلَ)	تَنَازُلٌ-تَنَازُلٌ 
(مص. تَنَاسَبَ)	تَنَاسُبٌ-تَنَاسُبٌ 
(مص. تَنَاسَخَ)	تَنَاسُخٌ-تَنَاسُخٌ 
(مص. تَنَاسَقَ)	تَنَاسُقٌ-تَنَاسُقٌ 
(مص. تَنَاسَلَ)	تَنَاسُلٌ-تَنَاسُلٌ 
(مص. تَنَاسَى)	تَنَاسِي-تَنَاسِي، تَنَاسٍ
(مص. تَناشَدَ)	تَنَاشُدٌ-تَنَاشُدٌ 
(مص. تَنَاصَّ)	تَنَاصٌّ-تَنَاصٌّ 
(مص. تنَاصَبَ)	تَنَاصُبٌ-تَنَاصُبٌ 
(مص. تَناصَرَ)	تَنَاصُرٌ-تَنَاصُرٌ 
(مص. تَنَاصَفَ)	تَنَاصُفٌ-تَنَاصُفٌ 
(مص. تَنَاضَلَ)	تَنَاضُلٌ-تَنَاضُلٌ 
(مص. تَنَاطَحَ)	تَنَاطُحٌ-تَنَاطُحٌ 
(مص. تَنَاظَرَ)	تَنَاظُرٌ-تَنَاظُرٌ 
(مص. تنَاعَتَ)	تَنَاعُتٌ-تَنَاعُتٌ 
(مص. تَنَاعَسَ)	تَنَاعُسٌ-تَنَاعُسٌ 
(مص. تَنَاعَمَ)	تنَاعُمٌ-تنَاعُمٌ 
(مص. تنَاعَى)	تَنَاعِي-تَنَاعِي، تَنَاعٍ
(مص. تَنَاغَى)	تَنَاغِي-تَنَاغِي، تَنَاغٍ
(مص. تَنَافَرَ)	تَنَافُرٌ-تَنَافُرٌ 
(مص. تَنَافُسٌ)	تَنَافُسٌ-تَنَافُسٌ 
(مص. تَنَافَى)	تَنَافِي-تَنَافِي، تَنَافٍ 
(مص. تنَاقَصَ)	تَنَاقُصٌ-تَنَاقُصٌ 
(مص. تنَاقَضَ)	تَنَاقُضٌ-تَنَاقُضٌ 
(مص. تَنَاقَلَ)	تَنَاقُلٌ-تَنَاقُلٌ 
(مص. تَنَاكَحَ)	تَنَاكُحٌ-تَنَاكُحٌ 
(مص. تَنَاكَرَ)	تَنَاكُرٌ-تَنَاكُرٌ 
(مص. تَنَامَى)	تَنَامِي-تَنَامِي، تَنَامٍ
(مص. تَنَاهَدَ)	تَنَاهُدٌ-تَنَاهُدٌ 
(مص. تَنَاهَشَ)	تَنَاهُشٌ-تَنَاهُشٌ 
(مص. تَنَاهَضَ)	تَنَاهُضٌ-تَنَاهُضٌ 
(مص. تنَاهَى)	تَنَاهِي-تَنَاهِي، تَنَاهٍ 
(مص. تَناوَبَ)	تَنَاوُبٌ-تَنَاوُبٌ 
(مص. تَنَاوَلَ)	تَنَاوُلٌ-تَنَاوُلٌ 
(مص. تَنَاوَمَ)	تَنَاوُمٌ-تَنَاوُمٌ 
(مص. تَنبَّأَ)	تَنَبُّؤٌ-تَنَبُّؤٌ 
(مص. تَنَبَّلَ)	تَنَبُّلٌ-تَنَبُّلٌ 
(مص. تَنَبَّهَ)	تَنَبُّهٌ-تَنَبُّهٌ 
(مص. تَنَتَّفَ)	تَنَتُّفٌ-تَنَتُّفٌ 
(مص. تَنَثَّرَ)	تَنَثُّرٌ-تَنَثُّرٌ 
(مص. تَنَجَّحَ)	تَنَجُّحٌ-تَنَجُّحٌ 
(مص. تَنَجَّدَ)	تَنَجُّدٌ-تَنَجُّدٌ 
(مص. تَنَجَّز)	تَنَجُّزٌ-تَنَجُّزٌ 
(مص. تَنَجَّسَ)	تَنجُّسٌ-تَنجُّسٌ 
(مص. تَنَجَّعَ)	تَنَجُّعٌ-تَنَجُّعٌ 
(مص. تَنَجَّمَ)	تَنَجُّمٌ-تَنَجُّمٌ 
(مص. تَنَحَّلَ)	تَنَحُّلٌ-تَنَحُّلٌ 
(مص. تَنَحْنَحَ)	تَنَحْنُحٌ-تَنَحْنُحٌ 
(مص. تَنَحَّى)	تَنَحِّي-تَنَحِّي، تَنَحٍّ 
(مص. تَنَدَّمَ)	تَنَدُّمٌ-تَنَدُّمٌ 
(مص. تَنَدَّى)	تَنَدِّي-تَنَدِّي، تَنَدٍّ
(مص. تَنَزَّلَ)	تَنَزُّلٌ-تَنَزُّلٌ 
(مص. تَنَزَّهَ)	تَنَزُّهٌ-تَنَزُّهٌ 
(مص. تَنسَّبَ)	تَنَسُّبٌ-تَنَسُّبٌ 
(مص. تَنَسَّقَ)	تَنَسُّقٌ-تَنَسُّقٌ 
(مص. تَنَسَّكَ)	تَنَسُّكٌ-تَنَسُّكٌ 
(مص. تَنَسَّمَ)	تَنَسُّمٌ-تَنَسُّمٌ 
(مص. تَنَشَّبَ)	تَنَشُّبٌ-تَنَشُّبٌ 
(مص. تَنَشَّدَ)	تَنَشُّدٌ-تَنَشُّدٌ 
(مص. تَنَشَّرَ)	تَنَشُّرٌ-تَنَشُّرٌ 
(مص. تَنَشَّطَ)	تَنَشُّطٌ-تَنَشُّطٌ 
(مص. تَنَشَّفَ)	تَنَشُّفٌ-تَنَشُّفٌ 
(مص. تَنَشَّقَ)	تَنَشُّقٌ-تَنَشُّقٌ 
(مص. تَنَصَّبَ)	تَنَصُّبٌ-تَنَصُّبٌ 
(مص. تَنَصَّتَ)	تَنَصُّتٌ-تَنَصُّتٌ 
(مص. تَنصَّحَ)	تَنَصُّحٌ-تَنَصُّحٌ 
(مص. تَنَصَّرَ)	تَنصُّرٌ-تَنصُّرٌ 
(مص. تَنَصَّفَ)	تَنَصُّفٌ-تَنَصُّفٌ 
(مص. تَنَصَّلَ)	تَنَصُّلٌ-تَنَصُّلٌ 
(مص. تَنضَّحَ)	تَنَضُّحٌ-تَنَضُّحٌ 
(مص. تَنضَّدَ)	تَنَضُّدٌ-تَنَضُّدٌ 
(مص. تَنَطَّعَ)	تَنَطُّعٌ-تَنَطُّعٌ 
(مص. تَنَطَّقَ)	تَنَطُّقٌ-تَنَطُّقٌ 
(مص. تَنَظَّرَ)	تَنَظُّرٌ-تَنَظُّرٌ 
(مص. تَنَظَّفَ)	تَنَظُّفٌ-تَنَظُّفٌ 
(مص. تَنَظَّمَ)	تَنَظُّمٌ-تَنَظُّمٌ 
(مص. تَنَعَّتَ)	تَنَعُّتٌ-تَنَعُّتٌ 
(مص. تَنَعَّلَ)	تَنَعُّلٌ-تَنَعُّلٌ 
(مص. تَنَعَّمَ)	تَنَعُّمٌ-تَنَعُّمٌ 
(مص. تَنَغَّصَ)	تَنَغُّصٌ-تَنَغُّصٌ 
(مص. تَنَغَّمَ)	تَنَغُّمٌ-تَنَغُّمٌ 
(مص. تَنَفَّسَ)	تَنَفُّسٌ-تَنَفُّسٌ 
(مص. تَنَفَّشَ)	تَنَفُّشٌ-تَنَفُّشٌ 
(مص. تَنَفَّطَ)	تَنَفُّطٌ-تَنَفُّطٌ 
(مص. تَنَفَّلَ)	تَنَفُّلٌ-تَنَفُّلٌ 
(مص. تَنَقَّبَ)	تَنَقُّبٌ-تَنَقُّبٌ 
(مص. تَنَقَّدَ)	تَنَقُّدٌ-تَنَقُّدٌ 
(مص. تَنَقَّذَ)	تَنَقُّذٌ-تَنَقُّذٌ 
(مص. تَنَقَّصَ)	تَنَقُّصٌ-تَنَقُّصٌ 
(مص. تَنَقَّضَ)	تَنَقُّضٌ-تَنَقُّضٌ 
(مص. تَنَقَّلَ)	تَنَقُّلٌ-تَنَقُّلٌ 
(مص. تَنَقَّى)	تَنَقِّي-تَنَقِّي، تَنَقٍّ
(مص. تَنَكَّبَ)	تَنَكُّبٌ-تَنَكُّبٌ 
(مص. تَنَكَّدَ)	تَنَكُّدٌ-تَنَكُّدٌ 
(مص. تَنَكَّرَ)	تَنَكُّرٌ-تَنَكُّرٌ 
(مص. تَنَكَّسَ)	تَنَكُّسٌ-تَنَكُّسٌ 
(مص. تَنمَّلَ)	تَنَمُّلٌ-تَنَمُّلٌ 
(مص. تَنَهَّدَ)	تَنَهُّدٌ-تَنَهُّدٌ 
(مص. تَنَوَّرَ)	تَنَوُّرٌ-تَنَوُّرٌ 
(مص. تَنَوَّعَ)	تَنَوُّعٌ-تَنَوُّعٌ 
(مص. تَنَوَّلَ)	تَنَوُّلٌ-تَنَوُّلٌ 
(مص. تَنَوَّمَ)	تَنَوُّمٌ-تَنَوُّمٌ 
(مص. تَهَاتَرَ)	تَهَاتُرٌ-تَهَاتُرٌ 
(مص. تَهَاجَرَ)	تَهَاجُرٌ-تَهَاجُرٌ 
(مص. تَهَاجَمَ)	تَهَاجُمٌ-تَهَاجُمٌ 
(مص. تَهَاجَى)	تَهاجِي-تَهاجِي، تَهَاجٍ
(مص. تَهَادَّ)	تَهَادٌّ-تَهَادٌّ 
(مص. تَهَادَنَ)	تَهَادُنٌ-تَهَادُنٌ 
(مص. تَهَادى)	تَهَادِي-تَهَادِي، تَهَادٍ
(مص. تَهَارَب)	تَهَارُبٌ-تَهَارُبٌ 
(مص. تَهَارَتَ)	تَهَارُتٌ-تَهَارُتٌ 
(مص. تَهَارَشَ)	تَهَارُشٌ-تَهَارُشٌ 
(مص. تَهَارَقَ)	تَهَارُقٌ-تَهَارُقٌ 
(مص. تَهَارَمَ)	تَهَارُمٌ-تَهَارُمٌ 
(مص. تَهَاطَلَ)	تَهَاطُلٌ-تَهَاطُلٌ 
(مص. تَهَافَتَ)	تَهَافُتٌ-تَهَافُتٌ 
(مص. تَهَالَكَ)	تَهَالُكٌ-تَهَالُكٌ 
(مص. تَهَامَسَ)	تَهَامُسٌ-تَهَامُسٌ 
(مص. تَهَامَشَ)	تَهَامُشٌ-تَهَامُشٌ 
(مص. تَهَاوَنَ)	تَهَاوُنٌ-تَهَاوُنٌ 
(مص. تَهَاوَى)	تَهَاوِي-تَهَاوِي، تَهَاوٍ
(مص. تَهَايَجَ)	تَهَايُجٌ-تَهَايُجٌ 
(مص. تَهَتَّكَ)	تَهَتُّكٌ-تَهَتُّكٌ 
(مص. تَهَجَّدَ)	تَهَجُّدٌ-تَهَجُّدٌ 
(مص. تَهَجَّرَ)	تَهَجُّرٌ-تَهَجُّرٌ 
(مص. تَهَجَّمَ)	تَهَجُّمٌ-تَهَجُّمٌ 
(مص. تَهَجَّى)	تَهَجِّي-تَهَجِّي، تَهَجٍّ 
(مص. تَهَدَّبَ)	تَهَدُّبٌ-تَهَدُّبٌ 
(مص. تَهَدَّجَ)	تَهَدُّجٌ-تَهَدُّجٌ 
(مص. تَهَدَّدَ)	تَهَدُّدٌ-تَهَدُّدٌ 
(مص. تَهَدَّلَ)	تَهَدُّلٌ-تَهَدُّلٌ 
(مص. تَهَدَّمَ)	تَهَدُّمٌ-تَهَدُّمٌ 
(مص. تَهَدْهَدَ)	تَهَدْهُدٌ-تَهَدْهُدٌ 
(مص. تَهَذَّبَ)	تَهَذُّبٌ-تَهَذُّبٌ 
(مص. تَهَرَّأَ)	تَهَرُّؤٌ-تَهَرُّؤٌ 
(مص. تَهَرَّبَ)	تَهَرُّبٌ-تَهَرُّبٌ 
(مص. تَهَرْطَقَ)	تَهَرْطُقٌ-تَهَرْطُقٌ 
(مص. تَهَزَّأ)	تَهَزُّؤٌ-تَهَزُّؤٌ 
(مص. تَهَزَّجَ)	تَهَزُّجٌ-تَهَزُّجٌ 
(مص. تَهَزَّزَ)	تَهَزُّزٌ-تَهَزُّزٌ 
(مص. تَهَزَّمَ)	تَهَزُّمٌ-تَهَزُّمٌ 
(مص. تَهَشَّمَ)	تَهَشُّمٌ-تَهَشُّمٌ 
(مص. تَهَطَّلَ)	تَهَطُّلٌ-تَهَطُّلٌ 
(مص. تَهَفْهَفَ)	تَهَفْهُفٌ-تَهَفْهُفٌ 
(مص. تَهَكَّمَ)	تَهَكُّمٌ-تَهَكُّمٌ 
(مص. تَهَلَّلَ)	تَهَلُّلٌ-تَهَلُّلٌ 
(مص. تَهَلْهَلَ)	تَهَلْهُلٌ-تَهَلْهُلٌ 
(مص. تَهَنَّأَ)	تَهَنُّؤٌ-تَهَنُّؤٌ 
(مص. تَهَوَّجَ)	تَهَوُّجٌ-تَهَوُّجٌ 
(مص. تَهَوَّدَ)	تَهَوُّدٌ-تَهَوُّدٌ 
(مص. تَهَوَّرَ)	تَهَوُّرٌ-تَهَوُّرٌ 
(مص. تَهَوَّسَ)	تَهَوُّسٌ-تَهَوُّسٌ 
(مص. تَهَوَّشَ)	تَهَوُّشٌ-تَهَوُّشٌ 
(مص. تَهَوَّمَ)	تَهَوُّمٌ-تَهَوُّمٌ 
(مص. تَهَيَّأَ)	تَهَيُّؤٌ-تَهَيُّؤٌ 
(مص. تَهَيَّبَ)	تَهَيُّبٌ-تَهَيُّبٌ 
(مص. تَهَيَّجَ)	تَهَيُّجٌ-تَهَيُّجٌ 
(مص. تَهَيَّمَ)	تَهيُّمٌ-تَهيُّمٌ 
(مص. تَوَاءمَ)	تَواؤُمٌ-تَواؤُمٌ 
(مص. تَوَاتَرَ)	تَوَاتُرٌ-تَوَاتُرٌ 
(مص. تَوَاثَبَ)	تَواثُبٌ-تَواثُبٌ 
(مص. تَواجَدَ)	تَوَاجُدٌ-تَوَاجُدٌ 
(مص. تَوَاجَهَ)	تَوَاجُهٌ-تَوَاجُهٌ 
(مص. تَوَادَّ)	تَوَادٌّ-تَوَادٌّ 
(مص. تَوَادَعَ)	تَوَادُعٌ-تَوَادُعٌ 
(مص. تَوارَثَ)	تَوَارُثٌ-تَوَارُثٌ 
(مص. تَوَارَدَ)	تَوَارُدٌ-تَوَارُدٌ 
(مص. تَوَارَى)	تَوَارِي-تَوَارِي، توارٍ 
(مص. تَوَازَنَ)	تَوَازُنٌ-تَوَازُنٌ 
(مص. تَوازَى)	تَوازِي-تَوازِي، تَوازٍ 
(مص. تَوَاصَفَ)	تَوَاصُفٌ-تَوَاصُفٌ 
(مص. تَوَاصَلَ)	تَوَاصُلٌ-تَوَاصُلٌ 
(مص. تَوَاصى)	تَوَاصِي-تَوَاصِي، تَواصٍ 
(مص. تَوَاضَع)	تَوَاضُعٌ-تَوَاضُعٌ 
(مص. تَوَاطَأَ)	تَوَاطُؤٌ-تَوَاطُؤٌ 
(مص. تَوَاعَدَ)	تَوَاعُدٌ-تَوَاعُدٌ 
(مص. تَوَافَدَ)	تَوَافُدٌ-تَوَافُدٌ 
(مص. تَوَافَرَ)	تَوَافُرٌ-تَوَافُرٌ 
(مص. تَوَافَقَ)	تَوَافُقٌ-تَوَافُقٌ 
(مص. تَوَاقَحَ)	تَوَاقُحٌ-تَوَاقُحٌ 
(مص. تَوَاقَفَ)	تَوَاقُفٌ-تَوَاقُفٌ 
(مص. تَوَاكَلَ)	تَوَاكُلٌ-تَوَاكُلٌ 
(مص. تَوَالَدَ)	تَوَالُدٌ-تَوَالُدٌ 
(مص. تَوَالَى)	تَوَالِي-تَوَالِي، تَوَالٍ
(مص. تَوَانَى)	تَوانِي-تَوانِي، تَوانٍ
(مص. تَوَاهَبَ)	تَوَاهُبٌ-تَوَاهُبٌ 
(مص. تَوَتَّرَ)	تَوَتُّرٌ-تَوَتُّرٌ 
(مص. تَوَثَّبَ)	تَوَثُّبٌ-تَوَثُّبٌ 
(مص. تَوَثَّقَ)	تَوَثُّقٌ-تَوَثُّقٌ 
(مص. تَوَجَّبَ)	تَوَجُّبٌ-تَوَجُّبٌ 
(مص. تَوَجَّدَ)	تَوَجُّدٌ-تَوَجُّدٌ 
(مص. تَوَجَّسَ)	تَوَجُّسٌ-تَوَجُّسٌ 
(مص. تَوَجَّعَ)	تَوَجُّعٌ-تَوَجُّعٌ 
(مص. تَوجَّهَ)	تَوَجُّهٌ-تَوَجُّهٌ 
(مص. تَوَحَّدَ)	تَوَحُّدٌ-تَوَحُّدٌ 
(مص. تَوَحَّشَ)	تَوَحُّشٌ-تَوَحُّشٌ 
(مص. تَوَحَّلَ)	تَوَحُّلٌ-تَوَحُّلٌ 
(مص. تَوَحَّمَ)	تَوَحُّمٌ-تَوَحُّمٌ 
(مص. تَوَخَّى)	تَوَخٍّ-تَوَخّ
(مص. تَوَدَّدَ)	تَوَدُّدٌ-تَوَدُّدٌ 
(مص. تَوَدَّعَ)	تَوَدُّعٌ-تَوَدُّعٌ 
(مص. تَوَرَّدَ)	تَوَرُّدٌ-تَوَرُّدٌ 
(مص. تَوَرَّطَ)	تَوَرُّطٌ-تَوَرُّطٌ 
(مص. تَوَرَّعَ)	تَوَرُّعٌ-تَوَرُّعٌ 
(مص. تَوَرَّكَ)	تَوَرُّكٌ-تَوَرُّكٌ 
(مص. تَوَرَّمَ)	تَوَرُّمٌ-تَوَرُّمٌ 
(مص. تَوَزَّرَ)	تَوَزُّرٌ-تَوَزُّرٌ 
(مص. تَوَزَّعَ)	تَوَزُّعٌ-تَوَزُّعٌ 
(مص. تَوَسَّخَ)	تَوسُّخٌ-تَوسُّخٌ 
(مص. تَوَسَّدَ)	تَوسُّدٌ-تَوسُّدٌ 
(مص. تَوَسَّعَ)	تَوَسُّعٌ-تَوَسُّعٌ 
(مص. تَوَسَّلَ)	تَوَسُّلٌ-تَوَسُّلٌ 
(مص. تَوَسَّمَ)	تَوَسُّمٌ-تَوَسُّمٌ 
(مص. تَوَسَّنَ)	تَوَسُّنٌ-تَوَسُّنٌ 
(مص. تَوَشْوَشَ)	تَوَشْوُشٌ-تَوَشْوُشٌ 
(مص. تَوَشَّى)	تَوشِّي-تَوشِّي، تَوَشٍّ 
(مص. تَوَصَّلَ)	تَوَصُّلٌ-تَوَصُّلٌ 
(مص. تَوَضَّأ)	تَوَضُّؤٌ-تَوَضُّؤٌ 
(مص. تَوَضَّحَ)	تَوَضُّحٌ-تَوَضُّحٌ 
(مص. تَوَطَّدَ)	تَوَطُّدٌ-تَوَطُّدٌ 
(مص. تَوَطَّنَ)	تَوَطُّنٌ-تَوَطُّنٌ 
(مص. تَوَظَّفَ)	تَوَظُّفٌ-تَوَظُّفٌ 
(مص. تَوَعَّدَ)	تَوَعُّدٌ-تَوَعُّدٌ 
(مص. تَوَعَّرَ)	تَوَعُّرٌ-تَوَعُّرٌ 
(مص. تَوَعَّكَ)	تَوَعُّكٌ-تَوَعُّكٌ 
(مص. تَوَغَّرَ)	تَوَغُّرٌ-تَوَغُّرٌ 
(مص. تَوَغَّلَ)	تَوَغُّلٌ-تَوَغُّلٌ 
(مص. تَوَفَّرَ)	تَوَفُّرٌ-تَوَفُّرٌ 
(مص. تَوَفَّقَ)	تَوَفُّقٌ-تَوَفُّقٌ 
(مص. تَوَفَّى)	تَوَفِّي-تَوَفِّي، تَوَفٍّ
(مص. تَوَقَّحَ)	تَوَقُّحٌ-تَوَقُّحٌ 
(مص. تَوَقَّدَ)	تَوَقُّدٌ-تَوَقُّدٌ 
(مص. تَوَقَّرَ)	تَوَقُّرٌ-تَوَقُّرٌ 
(مص. تَوَقَّعَ)	تَوَقُّعٌ-تَوَقُّعٌ 
(مص. تَوَقَّفَ)	تَوَقُّفٌ-تَوَقُّفٌ 
(مص. تَوَقَّى)	تَوَقِّي-تَوَقِّي، تَوَقٍّ 
(مص. تَوَكَّأَ)	تَوَكُّؤٌ-تَوَكُّؤٌ 
(مص. تَوَكَّدَ)	تَوَكُّدٌ-تَوَكُّدٌ 
(مص. تَوَكَّلَ)	تَوَكُّلٌ-تَوَكُّلٌ 
(مص. تَوَلَّجَ)	تَوَلُّجٌ-تَوَلُّجٌ 
(مص. تَوَلَّدَ)	تَوَلُّدٌ-تَوَلُّدٌ 
(مص. تَوَلَّعَ)	تَوَلُّعٌ-تَوَلُّعٌ 
(مص. تَوَلَّهَ)	تَوَلُّهٌ-تَوَلُّهٌ 
(مص. تَوَلْوَلَ)	تَوَلْوُلٌ-تَوَلْوُلٌ 
(مص. تَوَلَّى)	تَوَلِّي-تَوَلِّي، تَوَلٍّ
(مص. تَوَّهَ)	تَتْوِيهٌ-تَتْوِيهٌ 
(مص. تَوَهَّجَ)	تَوَهُّج-تَوَهُّجٌ 
(مص. تَوَهَّدَ)	تَوَهُّدٌ-تَوَهُّدٌ 
(مص. تَوَهَّمَ)	تَوَهُّمٌ-تَوَهُّمٌ 
(مص. تَوَهَّنَ)	تَوَهُّنٌ-تَوَهُّنٌ
(مص. تَياسَرَ)	تَياسُرٌ-تَياسُرٌ 
(مص. تَيامَنَ)	تَيامُنٌ-تَيامُنٌ 
(مص. تَيَسَّرَ)	تَيَسُّرٌ-تَيَسُّرٌ 
(مص. تَيَفَّعَ)	تَيَفُّعٌ-تَيَفُّعٌ 
(مص. تَيَقَّظَ)	تَيَقُّظٌ-تَيَقُّظٌ 
(مص. تَيَقَّنَ)	تَيَقُّنٌ-تَيَقُّنٌ 
(مص. تَيَمَّمَ)	تَيَمُّمٌ-تَيَمُّمٌ 
